SIFARNIK,AOP,column_name,metric_label_hr,metric_label_en,metric_label_de,VRSTA,exists_in_db_afs
61,188,b188,Gubitak prekinutog poslovanja prije oporezivanja,Loss from discontinued operation before taxation,Verlust vor Steuern bei Stilllegung des Geschäftsbetriebs,00,1
61,189,b189,POREZ NA DOBIT PREKINUTOG POSLOVANJA,INCOME TAX FOR DISCONTINUED OPERATION,GEWINNSTEUER BEI STILLLEGUNG DES GESCHÄFTSBETRIEBS,00,1
61,190,b190,Dobit prekinutog poslovanja za razdoblje (AOP 186-189),Profit from discontinued operation for the period (EDP 186 - 189),Jahresmehrbetrag bei Stilllegung des Geschäftsbetriebs (EDV 186 - 189),00,1
61,191,b191,Gubitak prekinutog poslovanja za razdoblje (AOP 189-186),Loss from discontinued operation for the period (EDP 189 - 186),Jahresfehlbetrag bei Stilllegung des Geschäftsbetriebs (EDV 189 - 186),00,1
61,192,b192,DOBIT ILI GUBITAK PRIJE OPOREZIVANJA (AOP 179+186),PROFIT OR LOSS BEFORE TAXES (EDV 179 + 186),GEWINN ODER VERLUST VOR STEUER (EDP 179 + 186),00,1
61,193,b193,Dobit prije oporezivanja (AOP 192),Profit before taxation (EDV 192),Gewinn vor abzug der steuern (EDP 192),00,1
61,194,b194,Gubitak prije oporezivanja (AOP 192),Loss before taxation (EDV 192),Verlust vor abzug der steuern (EDP 192),00,1
61,195,b195,POREZ NA DOBIT (AOP 182+189),PROFIT TAX (EDV 182 + 189),GEWINNSTEUER (EDP182 + 189),00,1
61,196,b196,DOBIT ILI GUBITAK RAZDOBLJA (AOP 192-195),PERIODS PROFIT OR LOSS (EDV 192 - 195),GEWINN ODER VERLUST DES ZEITRAUMS (EDP 192 - 195),00,1
61,197,b197,Dobit razdoblja (AOP 192-195),WILL PERIOD PROFIT (EDV 192 - 195),GEWINN IM ZEITRAUM (EDP 192 - 195),00,1
61,198,b198,Gubitak razdoblja (AOP 195-192),PERIOD LOSS (EDV 195 - 192),VERLUST IM ZEITRAUM (EDP 195 - 192),00,1
61,199,b199,DOBIT ILI GUBITAK RAZDOBLJA (AOP 200+201),PERIODS PROFIT OR LOSS (EDV 200 + 201),GEWINN ODER VERLUST DES ZEITRAUMS (EDP 200 + 201),00,1
61,200,b200,Pripisana imateljima kapitala matice,Ascribed to parent company capital holders,der den Kapitalinhabern des Mutterunternehmens zusteht,00,1
